id	Activated CD8 T cell	Central memory CD8 T cell	Effector memeory CD8 T cell	Activated CD4 T cell	Central memory CD4 T cell	Effector memeory CD4 T cell	T follicular helper cell	Gamma delta T cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	Regulatory T cell	Activated B cell	Immature  B cell	Memory B cell	Natural killer cell	CD56bright natural killer cell	CD56dim natural killer cell	Myeloid derived suppressor cell	Natural killer T cell	Activated dendritic cell	Plasmacytoid dendritic cell	Immature dendritic cell	Macrophage	Eosinophil	Mast cell	Monocyte	Neutrophil
GSM1369796	0.486245969388429	0.568808949913519	0.697763864471202	0.247562535710841	0.746756882226315	0.4280266179653	0.502273234259368	0.523819466851448	0.410260975509314	0.266713108702275	0.0539929721329515	0.553037925572577	0.508407114766556	0.619064436496159	0.380880595689651	0.341763324232289	0.460805512885636	0.474057253673159	0.950589416393957	0.403767571691822	0.706603613556335	0.742460855093451	0.52084782042168	0.640334821840295	0.321610012345386	0.60060026713066	0.852305499109017	0.409016881472619
GSM1369797	0.448400098653108	0.572009752531793	0.665827917336106	0.188434155281074	0.724407344799373	0.456644838853869	0.495260057272823	0.548841340812306	0.432617639306878	0.292482115964143	0.074182173178909	0.561243243165482	0.248274100326951	0.619338422132006	0.354070102811554	0.38739953353082	0.463981343116642	0.434529793944438	0.970214783380518	0.417897403407843	0.72612784987866	0.751043416278297	0.510753683863625	0.654064311649478	0.310517540441099	0.727554861387379	0.787869415110311	0.432480901945564
GSM1369798	0.559936318157902	0.577831556011654	0.692933787537707	0.214401967931861	0.709094048768846	0.485097265041998	0.502780952536859	0.538949112038236	0.443045771283691	0.266606670408826	0.0440638431617738	0.561862914720611	0.350566646719869	0.598614880526303	0.353099721165623	0.383405846525606	0.45604841891956	0.477077781457506	0.955330104135786	0.453417328217862	0.698109732808907	0.753950318971118	0.514461819639267	0.669247763448559	0.291776156086534	0.618767952847706	0.843113709665253	0.497267284043432
GSM1369799	0.478332551412816	0.578449537960168	0.669490608303845	0.199262842433665	0.736577094593543	0.425622031486118	0.504448771188819	0.533095209149969	0.437431645970845	0.279772122932086	0.0368669872800849	0.575169715433864	0.340099879342042	0.601951610904305	0.360825495213434	0.368826765513754	0.458650613779871	0.494836984074353	0.995053396657497	0.445613033676369	0.741416158725044	0.740408811421544	0.527829389553783	0.678725130720741	0.30775812825348	0.634622546728423	0.883855265691663	0.479839517018766
GSM1369800	0.587056064105169	0.579919917209298	0.696638940605663	0.26316405541581	0.723416222941864	0.458758169176166	0.507413204108388	0.556385831316223	0.445941635930932	0.241061291005212	0.0394623807259189	0.565967356456284	0.444158591766102	0.641751759255683	0.376074835587333	0.367715478293937	0.47156124308834	0.463827687027817	1	0.439734365457739	0.718688231132709	0.729532013094273	0.535604346550416	0.68045938297774	0.326422253687576	0.646273591336774	0.851174195414168	0.490553677117424
GSM1369801	0.459065151397014	0.603833561237482	0.686019385287945	0.176245069066798	0.724375029539801	0.417510824425123	0.52016679996705	0.550289794513451	0.43602125924115	0.257865240831269	0.0418493141478089	0.588623345628724	0.31333534501725	0.564872660951958	0.354893389828965	0.382932261157191	0.456545609985273	0.473873784302571	0.984487801530021	0.451572996552478	0.756027495518863	0.740019692794118	0.478284237630718	0.67793373628925	0.292416459594423	0.647896851734742	0.881496446435258	0.473906490827421
GSM1369802	0.434309263397842	0.596221381121848	0.690492304474748	0.194392488562195	0.726191651007928	0.462356612019239	0.485014333345762	0.561579583266451	0.429834730237831	0.291190988384214	0.0465058246039437	0.568265530373107	0.256580197761385	0.605237917987175	0.364414066244703	0.392432542545633	0.468204110172134	0.46634247875652	0.954167562154398	0.448424084514833	0.711246339998964	0.737254129389667	0.542461213045304	0.669180604005777	0.27286504508287	0.612636906310585	0.864062222506326	0.46186418744862
GSM1369803	0.454949034890202	0.596769234536264	0.678878667546604	0.202104520264765	0.719165063699585	0.448799544324576	0.501825803941818	0.544611308333503	0.428123737412149	0.281075699523399	0.0480535477975709	0.55075630550118	0.262076962749477	0.644971981511567	0.38408728858969	0.364840602626339	0.471903946239301	0.462678570613775	0.975921497063493	0.450636035577329	0.739525722277981	0.755709808579899	0.528096032424499	0.68022896229387	0.308937473621464	0.630910353859605	0.855046935432431	0.486342443892674
GSM1369804	0.591255232019563	0.573965324628395	0.692182343165149	0.212403384198135	0.725828343722951	0.417936641967954	0.506199140310916	0.547367670728833	0.433367292945	0.305713194006709	0.0294771912084325	0.581731347579465	0.265780154835719	0.610256510121508	0.372231016072266	0.376497159286838	0.456126357445672	0.478466369052843	0.975059280466294	0.45226868894229	0.716797722513987	0.720090431874647	0.519184103733136	0.677005219147682	0.302790197648647	0.639818214098277	0.856010590914845	0.489291815032938
GSM1369805	0.482984724205388	0.574209204607656	0.670735728057355	0.2005935514552	0.739561910613981	0.45603315994814	0.505940006371543	0.529245100440168	0.446296773920056	0.297694663225287	0.0294966636744975	0.570736211004279	0.370325790032491	0.645384671447591	0.371880450317404	0.38244179957335	0.466410135305894	0.492629332721198	0.975301418685407	0.426369933374138	0.705582029015823	0.752582912701363	0.519754062847303	0.66220680875303	0.312122338480421	0.63106417942327	0.877447734318465	0.459055189858569
GSM1369806	0.458790908026567	0.598256460635045	0.701224692471691	0.210754725359858	0.724957947785759	0.429120003556743	0.505170713328069	0.534756453404589	0.439753843404087	0.288419326322519	0.018446023825591	0.578722240483787	0.37618631711653	0.582430361498304	0.367108048076393	0.369831053003568	0.462247616255823	0.462725833103569	0.975382779755023	0.44225103453488	0.733627953757305	0.755118082459814	0.523371033123297	0.669289141306507	0.328025862155426	0.600938781366731	0.87053454714592	0.48170339560385
