symbol	GSM1526572	GSM1526573	GSM1526574	GSM1526575	GSM1526576	GSM1526577	GSM1526578	GSM1526579	GSM1526580	GSM1526581
ABCA13	4.5499732137	4.6395939726	4.2148874029	5.028585181	4.2302076263	4.3294748094	4.7430834627	4.2571771235	3.9699894598	4.0194030173
ABCA2	6.9508568603	5.9709785941	5.9321823102	6.0743338372	7.9670163322	6.1287690739	5.9099675614	6.1724522782	6.7128718906	6.9288486412
ABCA3	6.8690257324	5.9055454075	6.3593664199	5.9234339235	6.6728827092	6.2045749881	5.7687515997	5.9277652804	6.510113868	5.9895527195
ABCA4	4.8830453865	4.2789560333	4.150421346	4.3954787299	4.3747508795	4.339802934	4.2094366246	4.234001209	4.7167331308	4.3020178872
ABCA5	3.0777222375	3.4398152792	3.3233985238	3.3541475877	4.4144821913	3.4286404425	3.5171412944	3.5806483149	3.1095576378	4.0898588282
ABCA6	3.0771422311	3.4557206463	3.0875191913	3.0095702408	2.9646335277	3.5221885407	3.1957483232	3.0049823749	3.1101140779	2.9597615856
ABCA7	7.91407551	7.5488673455	7.1943406957	7.3198898779	8.4344780507	7.1173997843	6.9365924757	7.3036454618	7.8336722797	7.5650303363
ABCA8	3.0439544709	2.8294022416	2.8167156054	2.8870072985	2.9249681062	2.928449489	2.7679605796	2.8536534276	2.9926914801	2.7257726619
ABCA9	3.0968742007	3.2127191537	3.2691947227	3.2616108263	3.0925540172	3.2246507898	3.2650008295	3.3552767663	3.1922999801	3.1436106035
ABCB1	3.3016294739	3.4052957252	3.3598340643	3.3164434608	4.3357186809	3.360986873	3.4136198962	3.3431978637	3.3338599438	4.1616198207
ABCB10	5.2593927377	5.8939847082	5.828651033	5.8205256979	5.1616575064	5.6998983655	5.8289060302	5.8859914075	5.4284915436	5.5812381807
ABCB11	3.6147181115	3.2792349399	3.2394949153	3.3429562523	3.413369108	3.2696905535	3.262503707	3.2706037369	3.466151987	3.29059736
ABCB4	3.4021991777	3.2550420756	3.1790401012	3.2129630263	3.5068266922	3.2745378422	3.1548541836	3.1355379891	3.3786659908	3.4329222877
ABCB5	3.1150465203	3.0993966983	2.8726905875	3.0131788343	3.1223830253	2.9243915685	2.9797428757	2.8759024582	3.1484662147	2.9933125459
ABCB6	5.9447512061	5.4315321745	5.2617055793	5.3426137809	5.5528703641	5.3013147118	5.2459259858	5.2867810366	5.6651696046	5.4236130465
ABCB7	4.5947628874	6.6141917512	6.5883974811	6.8268367221	5.7343153698	7.0184732345	7.122020464	7.1070623459	6.2388944651	6.7396912336
ABCB8	7.8005095972	6.5637307533	6.4809930187	6.7471369478	7.5606082448	6.646518621	6.6000699599	6.466986182	7.5462842029	7.0071698961
ABCB9	5.8312140706	4.9025868554	5.0575758296	5.1644758484	5.200087795	4.9159543609	4.9258415641	4.9768531154	5.3550485781	4.923505128
ABCC1	7.5661777061	7.7736013724	7.8673094044	7.8703515458	8.5098794861	7.8402235039	7.6178015795	8.0371152221	8.3823184205	7.988004597
ABCC10	7.2087244223	6.9032875449	6.8308682818	6.9952971683	7.9992663462	6.7995861075	6.765914847	6.8837478148	7.0977200473	7.1716474106
ABCC11	4.9646286612	4.3682786746	4.4548085909	4.5609212224	4.5712760958	4.5124666205	4.379509995	4.4789067554	4.7433458181	4.3772495875
ABCC12	3.972100968	3.7335640959	3.9016200488	3.9072606298	3.8078951907	3.9045581361	3.675742631	3.7601131146	4.0825986792	3.7534665261
ABCC13	3.068412904	2.9470854152	2.9465810508	3.0169368735	3.083826243	2.9951897583	2.9443787333	2.993708677	3.0315727999	3.0302023008
ABCC2	4.2499256766	3.9670263872	4.2670227265	4.0069001015	4.3031900649	4.1840953323	4.1013422153	4.4293301373	4.0727483203	4.0648815693
ABCC3	8.9218870203	8.295337124	8.6710881399	7.3920287191	5.995444222	8.6990356057	8.3451608913	7.6874348015	8.1950455207	6.8971954414
ABCC4	7.2247765604	6.9125503271	8.4497166101	6.6200278337	6.0386689732	8.3705545036	7.7166176133	6.5058847891	6.6110009328	6.0968744412
ABCC5	5.6223638778	6.5065023879	6.4596640353	6.2578995296	6.3415220689	6.0627973289	6.4428213396	6.2709118875	5.7521732532	6.3753332814
ABCC6	7.3212328408	5.960517102	6.2415893238	6.2731204755	6.2951372792	6.1608079222	6.0985222561	6.4594017798	6.9649026256	5.939248714
ABCC8	5.5740847864	4.4970194988	4.6301978881	4.7778607735	4.9887831217	4.6504665599	4.5410377342	4.5527193589	5.2598079446	4.6788362339
ABCC9	3.2154384032	2.9208044726	3.0913817465	3.0741137504	3.0795083576	3.0638242866	2.8956404967	3.0286145032	3.1257957743	3.0131788343
ABCD1	7.3351927864	7.0028935602	6.7128718906	7.0561808816	6.3063883411	7.0610297704	6.8441253367	7.1057851421	7.5815262087	7.0232737603
ABCD2	3.4434359618	2.9696925598	3.0495778815	3.1216965484	5.9631726581	2.9646335277	2.8712188124	2.8606815307	3.1838543992	5.0278945377
ABCD3	4.4878357846	6.039657013	5.9537125816	5.5965065308	5.0892766832	5.3969691004	5.6114582607	5.908768006	4.7814235332	5.7507239355
ABCD4	6.6586776324	6.3299193301	6.4619146174	6.5540786353	7.1135688997	6.5794710199	6.4273039206	6.6817058312	6.8454675667	6.854237866
ABCE1	4.8146198678	7.1243735629	6.5962285738	6.3888655878	6.0252092382	6.4848892328	6.8040581045	6.2458847355	5.0898059952	6.2109373584
ABCF1	7.9324042189	7.7381277191	7.6110649733	7.7143544171	8.0303186579	8.1228748862	7.7450908494	7.5244384096	7.8914283381	8.1908482986
ABCF2	6.3891962558	6.5542867537	6.2505761008	6.3566655298	6.650963706	6.4246441271	6.6945559892	6.3595425032	6.1940316265	6.4704402353
ABCF3	6.0075225757	6.6635179576	6.5345757887	6.5353164285	6.6815805948	6.4372165465	6.6657126443	6.6100967471	6.1987918613	6.4469529766
ABCG1	6.5708125146	6.1091574648	5.960517102	6.0362729968	6.2540137748	6.1244900245	6.033861479	6.3265165301	6.6705773821	6.1148823948
ABCG2	3.6352754663	3.306729456	3.0596932617	3.1899099967	3.2297196128	3.0903793538	3.1175298052	3.0746049914	3.3648675356	3.2067132208
ABCG4	6.2756025324	5.1792732604	5.1968074635	5.6534169355	5.8615670221	5.3079245511	5.1309695333	5.2421189672	6.0737719558	5.3569903001
ABCG5	4.6144248854	4.3674155595	4.2371448324	4.3330486473	4.1839205635	4.1356414496	4.1042125631	4.1210643237	4.6011124963	4.2755759155
