logFC	AveExpr	t	P.Value	adj.P.Val	B
0.445751022083333	8.33540474453125	12.0898378718519	3.72348032232214e-15	5.29032084195529e-11	24.1742288535136
0.577428478749999	7.42129144453125	11.1670220057387	4.67319855366489e-14	3.31984025252354e-10	21.7692287276106
0.410726346458333	8.18582622304688	10.7654083724265	1.45438953536901e-13	6.88798883950765e-10	20.6848038687531
0.489951969999999	11.18447941875	10.254117238916	6.36140665819508e-13	2.25957164499089e-09	19.2711070419652
0.491551437500001	8.2006092015625	10.0960333389349	1.01081562780712e-12	2.56080038685586e-09	18.8265549645397
0.418545219166667	8.7434469796875	10.0730767213269	1.0814190822871e-12	2.56080038685586e-09	18.7617073332509
0.638279760833332	9.2528157328125	9.60962358678452	4.28740966110813e-12	7.9875108167811e-09	17.4369468349669
0.334115212083333	6.10299536328125	9.59369185692672	4.49747230674612e-12	7.9875108167811e-09	17.390883345697
0.408733779166667	6.2954532421875	9.50976684096049	5.78930636989889e-12	9.13938498928038e-09	17.1476638441165
0.2071575955	6.1022464253125	9.28247900589163	1.15215218866854e-11	1.55318015794407e-08	16.484232360441
0.599538349166666	8.0279819734375	9.26842485412625	1.20249026867854e-11	1.55318015794407e-08	16.4429847283676
0.419958977222222	9.19393506979167	9.21962204996358	1.39525219433494e-11	1.65197859809257e-08	16.2995516360984
0.319806784166666	6.67676510572917	9.17380736553072	1.60466559894246e-11	1.75377606382881e-08	16.1646172888447
0.569423788333333	7.952673740625	9.13680037630356	1.79688941241343e-11	1.82358605511214e-08	16.0554241491255
0.386638789583333	7.45440115234375	9.11067531501367	1.94649175104215e-11	1.84371698658712e-08	15.9782324842594
0.421065284166667	7.7672899078125	9.05781721110334	2.28892702993224e-11	1.96940765468375e-08	15.8217836176575
0.662635951666667	10.849230046875	9.03057892485858	2.48860334099756e-11	1.96940765468375e-08	15.7410240146373
0.642504378333334	9.594596021875	9.02973989668295	2.49502658954866e-11	1.96940765468375e-08	15.7385348486768
1.0183679675	8.8581563953125	8.95655349437963	3.12511333081689e-11	2.33692685285507e-08	15.5210660559068
0.66808442375	7.70704614765625	8.91381907026736	3.56528101084381e-11	2.38943920001776e-08	15.3937697899206
-0.211048313125	7.23851723945312	-8.909819907498	3.6095580040623e-11	2.38943920001776e-08	15.3818454171542
0.57777706625	9.60625830234375	8.90181506813326	3.69986362615362e-11	2.38943920001776e-08	15.3579712174191
-0.419772263333333	9.30769968125	-8.87095758928685	4.06991401234255e-11	2.51414514292882e-08	15.2658645737028
0.319355051250001	7.57590395859375	8.84471078032523	4.41404564553866e-11	2.56270575795823e-08	15.1874267735937
0.469162650833334	8.9696119578125	8.83781378654408	4.50926548064159e-11	2.56270575795823e-08	15.166801091662
-0.5582619725	8.4721573765625	-8.79170599545869	5.20154349175817e-11	2.84244345888077e-08	15.0287628359985
0.568043677500001	7.7073038890625	8.7713122671264	5.54116156186718e-11	2.84456368447676e-08	14.9676240668972
0.236456917708334	6.41953389414063	8.75604801190462	5.80997156436732e-11	2.84456368447676e-08	14.9218296122758
-0.49963786611111	9.192151121875	-8.74320800005033	6.04628723096119e-11	2.84456368447676e-08	14.8832860491152
0.3567218575	7.5678426859375	8.7350880430914	6.20072924921804e-11	2.84456368447676e-08	14.8589008948132
0.721078285	9.095014946875	8.730322953422	6.29321396092262e-11	2.84456368447676e-08	14.8445870406117
0.481571025416667	9.58880630078125	8.72457296223513	6.40667496503774e-11	2.84456368447676e-08	14.8273109537162
0.341106958333333	6.607522084375	8.70232375694781	6.86555483649198e-11	2.95593342778418e-08	14.7604243813405
0.62556277	10.57034556875	8.68486024135872	7.24892502610132e-11	3.0291978462014e-08	14.707882673962
0.369947283750001	8.74092331640625	8.6665408466232	7.67439618738457e-11	3.11536631515314e-08	14.6527262738111
0.499626054166667	5.9101505703125	8.61964492711108	8.88238236101885e-11	3.50558023848211e-08	14.5113470717597
0.864392684166666	7.1546681890625	8.58738231287215	9.82351807920827e-11	3.71671292943636e-08	14.4139308160141
0.739633563333334	9.39521299375	8.58359135077354	9.940532891229e-11	3.71671292943636e-08	14.4024759594561
0.400009223333333	8.32513133125	8.4640482563234	1.44520376268591e-10	5.21544582301312e-08	14.0403940825541
-0.237561167916667	10.4246037382813	-8.45899170179437	1.46831245017261e-10	5.21544582301312e-08	14.0250416286773
-0.298762888333334	11.050895971875	-8.42407886901263	1.6383963477034e-10	5.53453336685343e-08	13.9189606098891
-0.3353781775	9.7344475609375	-8.41746575639944	1.67279143139297e-10	5.53453336685343e-08	13.8988511982786
0.37705927	8.58980245625	8.40595703476929	1.73439887976725e-10	5.53453336685343e-08	13.8638430942367
0.37705927	8.58980245625	8.40595703476929	1.73439887976725e-10	5.53453336685343e-08	13.8638430942367
0.869315543611116	9.36130289635417	8.40257896317105	1.75291386196794e-10	5.53453336685343e-08	13.8535645468076
0.771127983333333	9.08657529375	8.39131465196303	1.81610915566735e-10	5.60940845298299e-08	13.8192809283279
-0.351291101666667	9.352763946875	-8.38010896489516	1.88126131233523e-10	5.68701292035296e-08	13.7851614120026
0.510758759166666	7.8403683421875	8.34049314052948	2.13113854180653e-10	6.30817008374732e-08	13.6644236249233
0.349671729166667	8.8015296734375	8.32413761116667	2.24385076355271e-10	6.46421856065015e-08	13.614525076571
0.289318925	7.353182559375	8.31978458235904	2.27485168941798e-10	6.46421856065015e-08	13.6012395139609
0.553725006666666	7.4413096875	8.30451426512829	2.38706574766542e-10	6.65008434173142e-08	13.5546173541116
